n_i;Z;beta
9.80000000e+03;1.11444109e-10;2.50000000e-01
9.80000000e+03;4.92339505e-10;2.75000000e-01
9.80000000e+03;2.62056426e-09;3.00000000e-01
9.80000000e+03;1.71226244e-08;3.25000000e-01
9.80000000e+03;1.41496522e-07;3.50000000e-01
9.80000000e+03;1.55481702e-06;3.75000000e-01
9.80000000e+03;2.45244912e-05;4.00000000e-01
9.80000000e+03;5.99155710e-04;4.25000000e-01
9.80000000e+03;2.28174711e-02;4.50000000e-01
9.80000000e+03;1.24933450e+00;4.75000000e-01
9.80000000e+03;8.87517425e+01;5.00000000e-01
9.80000000e+03;7.56207356e+03;5.25000000e-01
9.80000000e+03;7.33614728e+05;5.50000000e-01
9.80000000e+03;7.82838200e+07;5.75000000e-01
9.80000000e+03;8.97297442e+09;6.00000000e-01
